id;titulo;contenido;imagen;imagen_content_type;video;calificacion;lecturas
1;Integration;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;syndicate Sleek;48239;92084
2;Analyst e-commerce Ball;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Assurance;15557;65266
3;Group Tasty Soft Soap Executive;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;leading edge generate Saint Martin;77404;15371
4;modular systems;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Canyon transmit;7035;93005
5;Licensed Metal Gloves Accounts;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;deposit repurpose;12696;25453
6;Montserrat Credit Card Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;hack contingency;20326;91752
7;SCSI Designer payment;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Profound Barbados website;44231;26173
8;analyzing monitor engineer;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;mindshare protocol;10824;87552
9;Bedfordshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;neural Auto Loan Account Puerto Rico;48862;99690
10;Practical Fresh Gloves Shirt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Configuration ADP;15930;34299
