id;nombre;nit;direccion;telefono;correo_electronico
1;Response;networks Seychelles Rupee;next-generation Oklahoma optimize;Manager Pizza Berkshire;solid state
2;Tasty Concrete Chicken;magenta Savings Account Circles;composite cross-platform COM;syndicate Switzerland;e-tailers Awesome disintermediate
3;Granite deposit;Virginia;Intranet Operations matrix;Handcrafted Cotton Tuna transmit;Harbor Bhutan Tunisia
4;Orchestrator Saint Kitts and Nevis;1080p Steel 1080p;Ohio Solutions payment;Granite generating;withdrawal
5;Streets Borders;alliance Bolivar Fuerte;Intelligent;Representative Director;e-commerce District Italy
6;bluetooth;synergistic Zambian Kwacha;Rwanda AGP;Avon Technician matrices;real-time mindshare
7;port wireless Svalbard & Jan Mayen Islands;Borders Chips enterprise;Table;Secured;blue
8;Avon Distributed;synthesize expedite Malawi;Virginia;tan magnetic;PNG Table
9;communities;Convertible Marks;Buckinghamshire;mindshare Belarus;PCI Grass-roots
10;Tunisian Dinar incubate Iowa;Shirt;ability green RAM;Program Guinea-Bissau calculate;Officer Stravenue Michigan
