id;nombre;descripcion;imagen;imagen_content_type;inventario;tipo;impuesto;valor;unidad;estado;tiempo_entrega;dispinibilidad;nuevo;descuento;remate;tags;puntuacion;vistos;oferta;tiempo_oferta
1;Buckinghamshire;Views Intuitive;../fake-data/blob/hipster.png;image/png;81080;48201;78838;83186;14557;44086;24169;false;true;10400;false;Centralized;98154;16957;88128;60836
2;GB violet;hack;../fake-data/blob/hipster.png;image/png;14548;46953;56485;81471;78838;84351;57749;true;true;35222;true;parse;88964;31727;2822;20663
3;markets deposit;Directives framework;../fake-data/blob/hipster.png;image/png;94790;47612;68972;8170;82924;955;92413;false;true;81783;true;Incredible Electronics;18397;3199;16666;93690
4;Fantastic Metal Car Cheese SAS;Costa Rican Colon purple forecast;../fake-data/blob/hipster.png;image/png;16306;42833;50699;90759;54430;98936;1807;false;false;27163;true;Assurance Wisconsin Analyst;37628;77646;38477;56437
5;microchip circuit mobile;input Fresh;../fake-data/blob/hipster.png;image/png;18816;96816;11252;64779;70802;6039;68294;true;false;33951;true;Ergonomic Fresh Keyboard Soft;6314;67540;76983;98095
6;Locks;FTP silver Administrator;../fake-data/blob/hipster.png;image/png;96839;834;66836;49465;18812;26815;70329;true;true;71745;false;Facilitator purple;23157;29593;21741;13584
7;matrix Forward Pants;green overriding synthesizing;../fake-data/blob/hipster.png;image/png;96268;88697;49785;96892;36940;7629;69574;false;false;96964;false;impactful;8652;6879;55688;40642
8;turn-key;SDD;../fake-data/blob/hipster.png;image/png;2040;98238;18937;9026;59805;7742;28758;true;true;28746;true;Oregon Principal withdrawal;68603;15258;91786;72112
9;parsing calculate deposit;e-business multi-byte;../fake-data/blob/hipster.png;image/png;5130;32994;58604;15447;99856;23375;18279;true;true;70225;false;Metal Holy See (Vatican City State) Factors;35605;42597;98587;70344
10;Awesome Soft Chair;Bacon plum concept;../fake-data/blob/hipster.png;image/png;26258;87126;65270;39137;61930;34195;87365;true;true;9522;true;world-class Brunei Dollar;51332;37936;80000;67738
