id;nombre;descripcion;imagen;imagen_content_type;videos;videos_content_type;documento;documento_content_type;proveedor;impuesto;valor;unidad;dispinibilidad;descuento;remate;tags;puntuacion;vistos;oferta;tiempo_oferta
1;1080p;Bedfordshire Colorado;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Lane India;29873;1004;13297;false;81984;true;FTP;21373;81169;85305;3170
2;Generic Granite Pants;blue Customizable;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Generic incubate;37536;92847;98487;false;7426;false;gold Synergistic;52420;27283;60985;81371
3;Lari;Home Loan Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Estates;70298;30080;91649;false;30223;true;Cape Verde Escudo;25874;52288;2975;17786
4;Phased programming Shoes;projection Car payment;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;multi-byte;5659;97568;6369;true;44546;false;compress program Plastic;9156;85876;63928;50589
5;Forest Metal Borders;Bedfordshire neural;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Agent support;68379;52974;14062;false;33531;true;Web;393;99377;71424;15328
6;Nevada transmit United States of America;copying Generic Plastic Shoes productize;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;migration groupware Iowa;80570;81522;45716;true;6700;false;envisioneer Fall schemas;41845;84195;76070;51344
7;SMTP;Generic synthesizing Cheese;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;interface Up-sized Fresh;4105;70006;68671;true;49991;true;Car Gloves application;96213;45130;34692;19636
8;Gloves Fish;white generate digital;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Cambridgeshire Summit Czech Koruna;28531;29156;58488;false;54939;false;Knoll withdrawal Shoes;7135;41274;37986;38415
9;synthesizing invoice;South Georgia and the South Sandwich Islands deposit programming;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Licensed;23812;70069;11712;false;51315;false;Extended Bike Bedfordshire;47231;80239;23083;33801
10;Internal array;Money Market Account seamless;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;bypassing Rapid Unions;648;54522;60792;true;11024;false;Direct Checking Account;53495;26468;43723;29604
