id;nombre;fecha;privado;calificacion
1;deploy Checking Account Libyan Arab Jamahiriya;2020-04-26T10:56:40;true;11674
2;Health Assimilated;2020-04-26T12:08:40;false;24351
3;Incredible Tunnel;2020-04-26T08:27:59;false;31122
4;Square Investment Account multi-byte;2020-04-26T08:46:01;false;3760
5;Cambridgeshire Village bypassing;2020-04-26T08:35:45;true;20845
6;focus group;2020-04-26T14:52:39;true;35123
7;recontextualize;2020-04-26T04:13:45;true;97005
8;payment;2020-04-26T00:36:20;true;50715
9;override Zambian Kwacha Practical Wooden Bike;2020-04-26T03:26:56;true;88086
10;well-modulated Movies XSS;2020-04-26T07:06:32;false;68320
